#timestamp|X|Y|item_name>weight
1518048580.2|1003|450|BUN>0.0204099824937|CREAT>0.0294167893782
1518048580.21|997|446|BUN>0.031662397269|CREAT>0.0186116577134
1518048580.21|992|444|BUN>0.0379539158973|CREAT>0.0141894750726
1518048580.23|992|452|BUN>0.015687050554|CREAT>0.0355873802423
1518048580.27|984|455|BUN>0.0100097140674|CL>4.06015006979e-07|CO2>1.03579100837e-09|CREAT>0.0452283503463
1518048580.28|985|452|BUN>0.0156345903688|CL>3.02779476341e-07|CO2>5.44150698098e-16|CREAT>0.0355547903874
1518048580.3|980|436|BUN>0.0621630249058|CL>2.16104655125e-06|CO2>6.55253540767e-16|CREAT>0.00357281345946
1518048580.31|994|440|BUN>0.0509149804856|CREAT>0.00757504606968
1518048580.33|987|437|BUN>0.0599300772899|CL>1.10973937351e-07|CO2>2.07402172016e-36|CREAT>0.00437008870898
1518048580.34|988|439|BUN>0.054002220378|CREAT>0.00635569796631
1518048580.36|976|446|BUN>0.0306255433558|CL>6.43887202123e-06|CO2>5.1206717459e-07|CREAT>0.0184048529161
1518048580.37|977|463|BUN>0.00211822743801|CL>1.05428679852e-06|CO2>3.32357267453e-06|CREAT>0.0675513985201
1518048580.4|991|452|BUN>0.0156841223479|CREAT>0.0355862295745
1518048580.42|997|444|BUN>0.0379653134783|CREAT>0.0141898407613
1518048580.44|994|444|BUN>0.0379610619268|CREAT>0.0141897239179
1518048580.45|984|442|BUN>0.0442911850362|CL>4.72825524032e-07|CO2>6.04960344197e-18|CREAT>0.0105131869225
1518048580.47|987|443|BUN>0.0411431230676|CL>1.10973937271e-07|CO2>8.45180740217e-32|CREAT>0.0122608029771
1518048580.48|993|442|BUN>0.0444506994433|CREAT>0.0105231556863
1518048580.5|1134|560|PHOS>0.0417700136809|CA>0.0115050966757|MG>1.10429098693e-07|CREAT>1.87385293139e-06
1518048580.52|1293|748
1518048580.53|1383|923
1518048580.56|1373|928
1518048580.56|1360|943
1518048580.58|1316|929
1518048580.59|1313|936
1518048580.61|1347|929
1518048580.62|1343|937
1518048580.64|1365|931
1518048580.65|1346|937
1518048580.68|1341|932
1518048580.7|1342|932
1518048580.71|1354|925
1518048580.73|1356|927
1518048580.74|1347|940
1518048580.78|1329|969
1518048580.8|1325|984
1518048580.81|1322|983
1518048580.83|1318|983
1518048580.83|1330|987
1518048580.85|1336|979
1518048580.86|1343|976
1518048580.88|1331|979
1518048580.89|1350|993
1518048580.9|1358|1018
1518048580.92|1373|1032
1518048580.93|1373|1033
1518048580.95|1380|1039
1518048581.01|1379|1031
1518048581.01|1373|1033
1518048581.03|1378|1022
1518048581.04|1371|1035
1518048581.06|1379|1035
1518048581.08|1365|1036
1518048581.09|1371|1027
1518048581.11|1375|1019
1518048581.12|1384|1022
1518048581.15|1380|1039
1518048581.17|1390|1042
1518048581.17|1386|1040
1518048581.2|1385|1041
1518048581.22|1378|1040
1518048581.23|1373|1036
1518048581.23|1371|1038
1518048581.25|1373|1036
#end
